ggen,paricle,ja,fr,de,zh-cn,it,es,ru,el,da
deflexion,名詞,たわみ,la deflexion,deflexion,该偏转,deflessione,deflexión,дефлексия,εκφοβισμός,Deflexion
denote,動詞,表す,la désignent,bezeichnen,在分别表示,per denotare,para denotar,Чтобы обозначить,να υποδηλώσει,at betegne
difference,名詞,差 (-> differ),la différence,Unterschied,区别,differenza,diferencia,разница,διαφορά,forskel
difficulty,名詞,難しさ,la difficulté,Schwierigkeit,难度,difficoltà,dificultad,трудность,δυσκολία,vanskelighed
direction-cosines,名詞,方向余弦,l'orientation cosinus,Richtungskosinus,该方向余弦,Direzione-Cosine,cosinas de dirección,Направление-сосуды,κατεύθυνση-Κοσίνες,Retningskosiner
distance,名詞,距離,la distance,Distanz,距离,distanza,distancia,расстояние,απόσταση,afstand
domain,名詞,領域,domaine,Domain,域,dominio,dominio,домен,τομέα,domæne
doppler,名詞,ドップラー (人名、cf. ドップラー効果),doppler,Doppler,多普勒,Doppler,doppler,доплеровский,ντοπέλλερ,Doppler
down,副詞,(いわゆる) ダウン,bas,nach unten,向下,fuori uso,abajo,вниз,κάτω,ned
during,前置詞,の間,cours,während,期间,in occasione,durante,в течение,στη διάρκεια,i løbet af
earth,名詞,地球,La terre,Erde,地球,terra,tierra,земной шар,γη,jorden
easily,副詞,簡単に,la facilement,leicht,易,facilmente,fácilmente,без труда,εύκολα,let
electrically,副詞,電気的に,l'électricité,elektrisch,电,elettricamente,electricamente,электрически,ηλεκτρικά,elektrisk
ellipsoid,名詞,楕円,l'ellipsoïde,Ellipsoid,椭球,ellissoide,elipsoide,эллипсоид,ελλειψοειδής,ellipsoid
else,形容詞,他の,l'autre,sonst,在其他,altro,más,еще,αλλού,andet
employ,動詞,使う、雇用する,l'emploi,employ,打工的,impiegare,emplear,применять,χρησιμοποιώ,beskæftige
enclose,動詞,囲う、閉じる,l'enferment,enclose,内附,accludere,encerrar,приложить,επισυνάπτω,vedlægge
ensue,動詞,続く,se ensuivent,ensue,在接着发生,ne consegui,sobrevenir,последовательно,επακολουθώ,følger
erroneously,副詞,誤った,l'erreur,fälschlicherweise,该错误,erroneamente,erróneamente,ошибочно,εσφαλμένα,fejlagtigt
essential,形容詞,本質的な,l'essentiel,Essenzielle,重要的,essenziale,básico,существенный,ουσιώδης,vigtig
every,形容詞,すべての,tout,jeder,每对,ogni,cada,каждый,κάθε,hver
examine,動詞,検討する,l'examiner,untersuchen,在检查,esaminare,examinar,исследовать,εξετάζω,undersøge
exception,名詞,例外,l'éxéption,Ausnahme,异常,eccezione,excepción,исключение,εξαίρεση,undtagelse
experience,名詞,経験,l'expérience,Erfahrung,体验,Esperienza,experiencia,опыт,εμπειρία,erfaring
experiment,名詞,実験,l'expérience,Experiment,本实验,sperimentare,experimento,эксперимент,πείραμα,eksperiment
express,動詞,表す,l'Express,Express,快递,esprimere,Rápido,выражать,εξπρές,Express
far,形容詞,遠い,l'extrême,weit,远,lontano,lejos,далеко,μακριά,langt
firstly,副詞,はじめに,la part,zunächst,首先将,In primo luogo,primeramente,во-первых,Πρώτα,for det første
formula,名詞,式,la formule,Formel,公式,formula,fórmula,формула,τύπος,formel
fourth,名詞,第4,quatrième,vierte,第四个,il quarto,cuatro,четвертый,τέταρτος,fjerde
general,形容詞,一般的な,général,allgemeine,一般,generale,general,Генеральная,γενικός,generel
hand,名詞,時計の針,la main,Hand,手,mano,mano,рука,χέρι,hånd
hereafter,副詞,以後,l'au-delà,Jenseits,后世,di seguito,lo sucesivo,в дальнейшем,εφεξής,i det følgende
however,副詞,しかしながら,toutefois,jedoch,然而，该,però,sin embargo,Однако,ωστόσο,imidlertid
immediate,形容詞,直接の,l'immédiat,unmittelbare,眼前,immediato,inmediato,немедленный,άμεσος,umiddelbar
immediately,副詞,すぐに,la suite,sofort,紧接,subito,inmediatamente,немедленно,αμέσως,straks
impart,動詞,与える,impart,impart,在传授,impartire,impartir,придавать,μεταδίδω,formidle
incorrectly,副詞,間違って,mal,falsch,不正确,erroneamente,incorrectamente,неправильно,εσφαλμένος,forkert
indeed,副詞,確かに,En effet,la die in der Tat,在确,infatti,Por supuesto,верно,πράγματι,Ja
infinite,形容詞,無限,l'infini,Unendliche,无限,infinito,infinito,бесконечный,άπειρος,uendelig
infinitely,副詞,無限に,l'infiniment,unendlich,无限,infinitamente,infinitamente,бесконечно,απεριόριστα,uendeligt
interchange,動詞,入れ替える,l'échangeur,Austausch,交换,interscambio,intercambio,обмен,ανταλλαγή,udveksling
interval,名詞,間隔,l'intervalle,Intervall,间隔,intervallo,intervalo,интервал,διάστημα,interval
journey,名詞,旅,voyage,Reise,旅程,viaggio,viaje,путешествие,ταξίδι,rejse
judgments,名詞,判断,les jugements,Urteile,判决,sentenze,juicios,суждения,αποφάσεις,domme
kinematical,形容詞,運動学的,la cinématique,kinematischen,运动学,cinematico,cinemático,кинематический,κινηματικός,kinematisk
know,動詞,知っている,savoir,Wissen,知道了,sapere,saber,знать,ξέρω,ved godt
latter,名詞,後者,dernier,letztere,后者,quest'ultimo,último,последний,τελευταίος,sidstnævnte
lie,動詞,位置する,mensonge,Lüge,谎言,menzogna,mentir,ложь,ψέμα,ligge
like,形容詞,以下のような,etc.,ähnliches,类似,piace,me gusta,как,σαν,synes godt om
linear,形容詞,線型の (数学の専門用語),linéaire,lineare,线性,lineare,lineal,линейный,γραμμικός,lineær
longitudinal,形容詞,縦の,sens longitudinal,Längs,纵向,longitudinale,longitudinal,продольный,γεωγραφικού μήκους,langsgående
look,動詞,見える,regard,Aussehen,外观,Guarda,Mira,Смотреть,Κοίτα,se
magnitude,名詞,大きさ、光度,la magnitude,Größenordnung,幅度,grandezza,magnitud,величина,μέγεθος,størrelse
matter,名詞,事柄、物質,la question,Sache,此事,importa,asunto,иметь значение,ύλη,stof
medium,名詞,媒質,moyen,Medium,媒介,medio,medio,средний,Μεσαίο,medium
method,名詞,方法,la méthode,Methode,方法,metodo,método,метод,μέθοδος,metode
mirror,名詞,鏡,miroir,Spiegel,镜子,specchio,espejo,зеркало,καθρέφτης,spejl
modify,動詞,修正する,Modifier la,modify,修改,modificare,modificar,модифицировать,τροποποιώ,modificere
most,形容詞、副詞,最も,plus,meisten,最多,più,la mayoría,самый,πλέον,mest
move,動詞,動く,bouger,bewegen,移动,spostare,para mover,двигаться,να μετακινήσω,at flytte
nothing,名詞,何もない,néant,Nichts,没事,niente,nada,ничего такого,τίποτα,ikke noget
number,動詞,数える,nombre,Nummer,数字,numero,número,количество,αριθμός,nummer
numerical,形容詞,数の,numérique,numerische,数值,numerico,numérico,числовой,αριθμητικός,numerisk
operation,名詞,操作,l'opération,Operation,操作,operazione,operación,операция,λειτουργία,operation
path,名詞,経路,chemin,Weg,路径,sentiero,sendero,дорожка,μονοπάτι,sti
per,前置詞,あたり,par,pro,每,per,por,перемещение,ανά,om
perfectly,副詞,完全に,la parfaite,perfekt,在完美,perfettamente,perfectamente,отлично,τέλεια,perfekt
physically,副詞,物理的に,physiquement,physikalisch,物理,fisicamente,físicamente,физически,φυσικώς,fysisk
place,動詞,置く,placer,hinstellen,放置,piazzare,poner,положить,στον τόπο,at placere
polygonal,形容詞,多角形の,la polygonal,polygonale,多边形,poligonale,poligonal,полигональный,πολυγωνικός,polygonal
ponderomotive,形容詞,測定可能な,ponderomotive,ponderomotorischen,有质,ponderomotive,ponderomotivo,пондеромотив,τεκμηριωμένος,Ponderomotive
possess,動詞,所有する,la possèdent,besitzen,在具备,possedere,poseer,владеть,κατέχω,have
postulate,名詞,仮定、公準,postulat,Postulat,公设,postulato,postulado,постулат,αξιώ,påstå
power,名詞,力,la puissance,Macht,动力,potenza,energía,сила,εξουσία,strøm
precisely,副詞,ちょうど,la précision,genau,在精确,precisamente,precisamente,именно так,ακριβώς,netop
proceed,動詞,進む,Proceed,gehen,在继续,procedere,Continuar,продолжить,προχωρώ,Fortsæt
process,名詞,プロセス,processus,Prozess,过程,processi,proceso,процесс,"επεξεργάζομαι, διαδικασία",behandle
produce,動詞,生み出す,les produits,Produkt,农产品,produrre,producir,производить,παράγω,fremstille
proof,名詞,証明,la preuve,Beweis,证据,prova,prueba,доказательство,απόδειξη,bevis
prove,動詞,証明する,prouver,Beweis,该证明,dimostrare,demostrar,доказывать,αποδεικνύω,bevise
provide,動詞,提供する,Provide,bieten,在提供,fornire,proveer,предоставлять,προμηθεύω,give
radiation,名詞,放射線,rayonnement,Strahlung,辐射,radiazione,radiación,излучение,ακτινοβολία,stråling
radius,名詞,半径,rayon,Radius,半径,raggio,radio,радиус,ακτίνα κύκλου,radius
reciprocal,形容詞,相互の,l'inverse,reziproke,倒数,reciproco,recíproco,взаимный,αμοιβαίος,gensidig
refer,動詞,参照する,REFER,verweisen,该指,fare riferimento,referirse,ссылаться,αναφέρομαι,henvise
reference,名詞,参照,référence,Referenz,参考资料,riferimento,referencia,ссылка,αναφορά,reference
relationship,名詞,関係,la relation,Beziehung,关系,relazione,relación,отношение,σχέση,forhold
remain,動詞,残る,reste,bleibt,在保持,rimanere,permanecer,оставаться,παραμένει,forblive
represent,動詞,代表する,représentent,darstellen,该代表,rappresentare,representar,представлять,εκπροσωπώ,repræsentere
right,形容詞,右の,la droite,Recht,正确的,Giusto,Correcto,Правильно,σωστά,ret
satisfactory,形容詞,満足のいく,la satisfaction,zufriedenstellend,满意,soddisfacente,satisfactorio,удовлетворительно,ικανοποιητικός,tilfredsstillende
secondly,副詞,第 2 に,l'autre part,zweitens,其次，在,in secondo luogo,en segundo lugar,во-вторых,κατα δευτερον,for det andet
seek,動詞,探す,Seek,Such,寻道,cercare,buscar,стремиться,ψάχνω,søge
series,名詞,系列,les séries,Serie,该系列,serie,serie,серии,σειρά,serie
sign,名詞,符号,signe,Schild,标志,cartello,señal,знак,σημάδι,skilt
signification,名詞,意義,la signification,Bedeutung,的意义,significato,significación,Значение,σημασία,Betegnelse
simplify,動詞,簡素化する,la simplify,simplify,在简化,semplificare,simplificar,упрощать,απλοποιώ,forenkle
start,動詞,出発する、はじまる,début,Anfang,开始,inizio,comienzo,Начало,αρχή,Start
substitute,動詞,代入する,substitut,Ersatz,替代,sostituto,sustituto,заменять,υποκατάστατο,erstatning
suggest,動詞,提案する,suggèrent,vorschlagen,该建议,suggerire,sugerir,предложить,προτείνω,antyder
thence,副詞,そこから,là,von dort,在那里,quindi,de allí,оттуда,κατόπιν,derfra
thing,名詞,事,la chose,Sache,事情,cosa,cosa,вещь,πράγμα,ting
through,前置詞,---を通って,traversantes,durch,该通,attraverso,mediante,через,διά μέσου,igennem
train,名詞,列車,train,Zug,火车,treno,tren,тренироваться,τρένο,tog
transform,動詞,変換する,la transformation,Transformation,变换,trasformare,transformar,преобразование,μεταμορφώνω,Transform
transform,名詞,変換,la transformation,Transformation,变换,trasformare,transformar,преобразование,μεταμορφώνω,Transform
translatory,形容詞,並進の,translatoire,translatorische,平移,traslatoria,traductor,перевод,μεταφραστικός,translatorisk
transverse,形容詞,横の,sens transversal,Quer,横向,trasversale,transverso,поперечный,εγκάρσιος,tværgående
travel,動詞,旅行する,voyage,Reise,旅游,viaggiare,viajar,путешествовать,ταξίδι,rejse
unless,接続詞,---しない限り,moins,es sei denn,除非该,salvo che,a no ser que,пока не,εκτός,med mindre
use,動詞,使う,l'utilisation,Verwendung,使用,uso,usar,использовать,χρήση,brug
velocity-vector,名詞,速度ベクトル,la vitesse de vecteur,Geschwindigkeitsvektor,速度矢量,Velocità-vettore,vector de velocidad,Velocity-Vector,ταχύτης,Hastighedsvektor
virtue,名詞,美徳,la vertu,Tugend,美德,virtù,virtud,добродетель,αρετή,dyd
well,副詞,良く,puits,Brunnen,井,bene,bien,Что ж,Καλά,godt
whatever,副詞,なんでも,Whatever,was auch immer,无论在,qualunque cosa,lo que sea,что бы ни,"ό, τι να 'ναι",uanset hvad
whereas,接続詞,一方,l'alors,während,而在,invece,mientras,тогда как,ενώ,henviser til
withdraw,動詞,引っこむ,retrait,zurückziehen,在退出,ritirare,retirar,отзывать,αποσύρω,trække sig tilbage
work,動詞,はたらく,l'oeuvre,Arbeit,工作,opera,trabajar,Работа,δουλειά,arbejde
work,名詞,仕事 (物理の専門用語),les travaux,Werke,作品,opera,trabajar,Работа,δουλειά,arbejde
yet,副詞,未だ,la encore,noch,在尚未,ancora,aún,пока что,Ακόμη,endnu
zero,名詞,ゼロ,zéro,Null,零,zero,cero,нуль,μηδέν,nul
all,形容詞,すべて,tout,alle,全部,tutto,todos,все,όλα,alle
also,副詞,さらに,la aussi,auch,在还,anche,además,также,επίσης,også
not,副詞,ではない,la non,nicht,在不,non,no,нет,δεν,ikke
the principle,名詞,原理、原則,principe,Prinzip,原则,il principio,el principio,принцип,ο ΔΙΕΥΘΥΝΤΗΣ,princippet
to,前置詞,に,la Défense,zu,在以,a,a,к,προς την,til
the equation,名詞,方程式,l'équation,gleichung,公式,l'equazione,la ecuacion,уравнение,η εξίσωση,ligningen
must,助動詞,しなければならない,meilleur,Ein Muss,必须的,dovere,deber,должен,πρέπει,skal
rod,名詞,棒,la tige,Stange,杆,asta,varilla,стержень,ράβδος,Rod
transformation,名詞,変換,la transformation,Transformation,改造,trasformazione,transformación,трансформация,μεταμόρφωση,transformation
where,疑問副詞,どこ,l'où,where,在,dove,dónde,куда,όπου,hvor
axis,名詞,軸,l'axe,Achse,轴,asse,eje,ось,άξονας,akse
and,接続詞,そして,et,und,在与,e,y,а также,και,og
any,形容詞,どれか,ANY,jede,在任何,qualunque,ningún,Любые,όποιος,nogen
length,名詞,長さ,la durée,Länge,长度,lunghezza,longitud,длина,μήκος,længde
one,名詞,1,celui,Eine,唯一的那个,uno,una,один,ένας,en
origin,名詞,原点 (数学用語),l'origine,Ursprung,起源,origine,origen,источник,προέλευση,oprindelse
space,名詞,空間,l'espace,Raum,空间,spazio,espacio,пространство,χώρος,plads
then,副詞,それから,alors,dann,当时,poi,después,тогда,έπειτα,derefter
will,助動詞,(未来形を表す),la volonté,Wille,意志,volere,voluntad,будут,θα,vilje
follow,動詞,続く,suivi,folgende,后续,Seguire,seguir,следить,ακολουθηστε,følge efter
no,形容詞,全く---ない,non,Nein,无,No,no,нет,όχι,ingen
theory,名詞,理論,la théorie,Theorie,理论,teoria,teoría,теория,θεωρία,teori
system,名詞,系,système,System,系统,sistema,sistema,система,Σύστημα,system
we,代名詞,我々,nous,Wir,在我们的,noi,nosotros,мы,εμείς,vi
form,名詞,形,la forme,Form,表格,modulo,forma,форма,μορφή,form
magnetic,形容詞,磁気の,champ magnétique,magnetische,磁,magnetico,magnético,магнитный,μαγνητικός,Magnetisk
observer,名詞,観察者,l'observateur,Beobachter,观察者,osservatore,observador,наблюдатель,παρατηρητής,Observer
same,形容詞,同じ,même,Gleiche,相同,stesso,mismo,такой же,ίδιο,samme
thus,副詞,こうして,ainsi,so,这样,così,de este modo,таким образом,έτσι,dermed
along,前置詞,---に沿って,long,entlang,沿着该,lungo,a lo largo de,вместе,κατά μήκος,langs med
between,前置詞,の間に,l'entre,zwischen,之间,fra,Entre,между,μεταξύ,mellem
body,名詞,物体,corps,Körper,身体,corpo,cuerpo,тело,σώμα,legeme
charge,名詞,電荷,la charge,Ladung,费用,carica,cobrar,обвинение,χρέωση,oplade
may,助動詞,かもしれない,mai,Mai,,Maggio,mayo,май,ενδέχεται,kan
relativity,名詞,相対性,la relativité,Relativität,相对论,relatività,relatividad,относительность,σχετικότητα,relativitet
rigid,形容詞,厳格な,semi-rigide,starre,刚性,rigido,rígido,жесткий,άκαμπτος,stiv
surface,名詞,表面,la surface,Oberfläche,表面,superficie,superficie,поверхность,επιφάνεια,overflade
at,前置詞,---に,au,bei,在该,a,a,в,στο,på
that,代名詞・関係代名詞,それ,que,das,在这,Quello,que,что,ότι,at
definition,名詞,定義,la définition,Definition,定义,definizione,definición,определение,ορισμός,definition
here,副詞,ここに,ici,Hier,此时此地,qui,aquí,здесь,εδώ,her
into,前置詞,に,INTO,in,在成,in,dentro,в,σε,ind i
therefore,副詞,故に,Therefore,daher,因此，该,dunque,por lo tanto,следовательно,επομένως,derfor
translation,名詞,翻訳,la traduction,Übersetzung,译文,traduzione,traducción,перевод,μετάφραση,oversættelse
upon,前置詞,に,la sur,auf,以上的这些,su,al,на,επάνω σε,på
but,接続詞,しかし,mais,aber,但在,ma,pero,но,αλλά,men
clear,形容詞,明確な,clair,Klare,清,chiaro,claro,Чисто,Σαφή,klar
electrodynamics,名詞,電気力学,l'électrodynamique,Elektrodynamik,电动力学,elettrodinamica,electrodinámica,электродинамика,ηλεκτροδυναμική,Elektrodynamik
english,名詞,英語,l'anglais,Englisch,英语,inglese,inglés,английский,Αγγλικά,engelsk
further,形容詞,さらに遠く,la poursuite,weitere,进一步,ulteriore,más lejos,дальше,περαιτέρω,yderligere
other,名詞、形容詞,他,L'autre,andere,另一个,Altro,otro,Другой,άλλα,Andet
ray,名詞,光線,rayon,Strahl,光线,Ray,rayo,луча,ακτίνα,Ray
Cartesian,形容詞,デカルトの,cartésien,cartesianischen,笛卡尔,cartesiano,cartesiano,Картезианский,Καρτεσιανός,Kartesisk
Euclidean,形容詞,ユークリッドの,euclidienne,euklidische,欧几里得,euclideo,Euclidiano,Евклидовый,Ευκλείος,Euklidisk
Lorentzian,形容詞,ローレンツの (e.g. ローレンツ収縮),lorentzienne,Lorentz,洛伦兹,Lorentzian,Lorentziano,Лоренциан,Λοριστικός,Lorentzian
Newtonian,形容詞,ニュートンの,newtonien,Newton,牛顿,Newtoniano,newtoniano,Ньютоновский,Νευρώνας,Newtonian
Planck,名詞,プランク (人名),Planck,Planck,普朗克,Planck,Plancho,Планк,Παχουλός,Planck
about,副詞,約,propos de,über,在约,di,sobre,о,σχετικά με,om
absolutely,副詞,全く、絶対,l'absolument,absolut,绝对,assolutamente,absolutamente,абсолютно,απολύτως,absolut
abstraction,名詞,抽象,l'abstraction,Abstraktion,抽象,astrazione,abstracción,абстракция,αφαίρεση,abstraktion
accessible,形容詞,アクセス可能な,l'accès,zugänglich,可访问,accessibile,accesible,доступный,προσιτός,tilgængelig
accordingly,副詞,それに応じて,la conséquence,entsprechend,在相应,di conseguenza,respectivamente,соответственно,αναλόγως,derfor
acquire,動詞,得る,ACQUIRE,erwerben,在获取,acquisire,adquirir,приобретать,αποκτώ,erhverve
act,名詞,作用、行為,l'acte,Akt,法案,atto,Actuar,действовать,υποκρίνομαι,handling
additive,形容詞,加法的な,l'additif,Additiv,添加剂,additivo,aditivo,добавка,πρόσθετος,tilsætningsstof
adjust,動詞,調整する,adjust,einstellen,该调整,regolare,ajustar,регулировать,προσαρμόζω,justere
advanced,形容詞,高度な,la pointe,erweiterte,先进,Avanzate,avanzado,передовой,προχωρημένος,fremskreden
advantageous,形容詞,有利な,l'avantageux,vorteilhaft,有利的,vantaggioso,ventajoso,выгодно,επωφελής,fordelagtige
affect,動詞,影響を受ける,l'effet,Auswirkungen auf,的影响,influenzare,afectar,оказывать воздействие,επηρεάζουν,påvirke
aid,名詞,援助、補助,l'aide,Hilfe,援助,aiuto,ayuda,помогать,βοήθεια,hjælpe
alike,形容詞,同じ,la Alike,gleichermaßen,的一致好评,nello stesso modo,similar,одинаково,ομοίως,ens
allow,動詞,許す,permettent,erlauben,在允许,permettere,permitir,разрешать,επιτρέπω,tillade
alter,動詞,変更する,l'alter,Alter,圣坛,altera,alterar,альтернативный,αλλάζω,ændre
ambiguity,名詞,あいまいさ,l'ambiguïté,Mehrdeutigkeit,模糊,ambiguità,ambigüedad,двусмысленность,ασάφεια,tvetydighed
amount,名詞,量,montant,Summe,数量,Quantità,Monto,количество,ποσό,beløb
analogy,名詞,類推,l'analogie,Analogie,类比,analogia,analogía,аналогия,αναλογία,analogi
anywhere,副詞,どこでも,partout,überall,在任何地方,ovunque,en cualquier sitio,в любом месте,οπουδήποτε,overalt
apparent,形容詞,見かけ上の,l'apparente,scheinbare,明显,apparente,aparente,очевидный,εμφανής,tilsyneladende
apparently,副詞,明らかに,l'apparence,scheinbar,显然,apparentemente,aparentemente,по всей видимости,προφανώς,tilsyneladende
approach,動詞,近づく,l'approche,Vorgehensweise,该方法,approccio,Acercarse,подход,πλησιάζω,nærme sig
appropriate,形容詞,適切な,approprié,angemessene,适当的,adeguata,adecuado,соответствующий,κατάλληλος,passende
approximately,副詞,約,environ la,etwa,大约,circa,aproximadamente,примерно,κατά προσέγγιση,rundt regnet
area,名詞,エリア,la zone,Gebiet,区域,la zona,área,область,περιοχή,areal
argument,名詞,議論、引数,l'argument,Argument,参数,discussione,argumento,аргумент,διαφωνία,argument
ascertain,動詞,確かめる,ascertain,ascertain,在探明,accertare,cerciorarse,выяснить,διαπιστώνω,fastslå
assertion,名詞,主張,l'affirmation,Behauptung,断言,asserzione,afirmación,утверждение,ισχυρισμός,påstand
assign,動詞,割り当てる,l'assign,assign,该分配,assegnare,asignar,назначать,αναθέτω,tildele
asymmetry,名詞,非対称、非対称性,l'asymétrie,Asymmetrie,不对称,asimmetria,asimetría,асимметрия,ασυμμετρία,Asymmetri
attach,動詞,取りつける,attach,anhängen,附装,allegare,adjuntar,прикреплять,συνδέω,Vedhæft
attainment,名詞,到達、達成,la réalisation,Erreichung,的实现,raggiungimento,logro,достижение,επίτευξη,opnåelse
attempt,名詞,試み,la tentative,Versuch,尝试,tentativo,intentar,пытаться,απόπειρα,forsøg
attend,動詞,出席する,l'assister,attend,在出席,frequentare,asistir,посещать,παραβρίσκομαι,deltage
attribute,動詞,---に帰する,l'attribut,Attribut,属性,attributo,atributo,атрибут,Χαρακτηριστικό,attribut
attribution,名詞,帰属,l'attribution,Zuschreibung,归属,attribuzione,atribución,атрибуция,απόδοση,attribution
author,名詞,著者,l'auteur,Autor,作者,autore,autor,автор,συγγραφέας,forfatter
auxiliary,形容詞,補助の、予備の,l'auxiliaire,Hilfs,辅助,ausiliario,auxiliar,вспомогательный,βοηθητική,Hjælp
available,形容詞,利用可能な,la mise à disposition,zur Verfügung stehenden,可用,a disposizione,disponible,доступный,διαθέσιμος,ledig
back,名詞,後ろ,l'arrière,Rücken,背部,Indietro,espalda,назад,πίσω,tilbage
balance,名詞,バランス,l'équilibre,Balance,余额,equilibrio,balance,остаток средств,ισορροπία,balance
balance-clock,名詞,バランス時計 (?),la balance horloge,Balance Uhr,平衡时钟,Balance-Clock,balance de equilibrio,баланс,μοσχεύματος,Balance-klokk
bear,動詞,持つ,l'ours,Bär,熊,orso,llevar,медведь,αρκούδα,bjørn
bearing,動詞 (現在分詞),-> bear,palier,Lager,轴承,cuscinetto,Llevando,несущий,ρουλεμάν,leje
because,接続詞,なぜなら,la raison,da,由于该,perché,porque,потому что,επειδή,fordi
behind,副詞、前置詞,後ろに,derrière,hinter,背后,dietro,detrás,позади,πίσω,bag
book,名詞,本,livre,Buch,书,prenotare,libro,книга,Βιβλίο,Bestil
born,動詞,生まれる,les personnes nées,geborene,该生,Nato,nacido,Родился,γεννημένος,Født
brevity,名詞,簡潔,la brièveté,Kürze,简洁,brevità,brevedad,Краткость,συντομία,kortfattethed
briefly,副詞,簡単に,brièvement,kurz,在简要,brevemente,brevemente,вкратце,εν ολίγοις,kort
calculate,動詞,計算する,calculate,calculate,该计算,calcolare,calcular,рассчитывать,υπολογίζω,Beregn
carefully,副詞,注意深く,soigneusement,sorgfältig,仔细,con attenzione,con cuidado,осторожно,προσεκτικά,omhyggeligt
cautiously,副詞,慎重に,la prudence,vorsichtig,小心翼翼的,cautamente,cautelosamente,осторожно,προσεκτικά,forsigtigt
centre,名詞,中心,centre,Zentrum,中心,centro,centro,центр,κέντρο,centrum
character,動詞,特徴づける,personnage,Charakter,人物,carattere,personaje,персонаж,χαρακτήρας,Karakter
character,名詞,性質,personnage,Charakter,人物,carattere,personaje,персонаж,χαρακτήρας,Karakter
close,動詞,閉まる,la fermeture,nahe,关闭,chiudere,cerca,Закрыть,Κλείσε,tæt
clothe,動詞,着る,vêtement,bekleiden,在衣,vestito,vestir,одеял,ντύνω,klæde
cm,名詞,センチメートル,cm,cm,该厘米,centimetro,cm,см,εκ,CM
co-ordinate,名詞,座標,la coordonnée,Koordinate,的坐标,coordinata,coordinar,координировать,συντεταγμένη,koordinere
colleague,名詞,同僚,collègue,Kollege,同事,collega,colega,коллега,συνάδελφος,kollega
collection,名詞,コレクション、収集、採集,la collection,Sammlung,集合,collezione,recopilación,коллекция,συλλογή,kollektion
come,動詞,来る,come,kommen,在来,venire,venir,прийти,Έλα,komme
communicate,動詞,伝える,communiquer,Kommunikation,在沟通,comunicare,comunicar,общаться,ΕΠΙΚΟΙΝΩΝΩ,kommunikere
company,名詞,会社、人の集まり,l'entreprise,Unternehmen,公司,azienda,empresa,Компания,Εταιρία,Selskab
compare,動詞,比較する,la comparaison,Vergleichs-,比较,confrontare,comparar,сравнивать,συγκρίνω,sammenligne
compensation,名詞,補償,la compensation,Entschädigung,补偿,compensazione,compensación,компенсация,αποζημίωση,kompensation
complete,形容詞,完全な,la complète,Ganze,完整,completare,completo,полный,πλήρης,komplet
completely,副詞,完全に,entièrement,vollständig,完全,completamente,completamente,полностью,εντελώς,fuldstændig
components,名詞,要素,les composants,Komponenten,组件,componenti,componentes,составные части,συστατικά,komponenter
compound,動詞,混ぜ合わせる、調合する,composé,Verbindung,该化合物,composto,compuesto,сложный,χημική ένωση,forbindelse
concern,動詞,心配する,la préoccupation,Sorge,关注,preoccupazione,inquietud,беспокойство,ανησυχία,bekymring
conclude,動詞,結論する,la conclusion,Schluss,该结论,concludere,concluir,заключить,καταλήγω,konkludere
conclusion,名詞,結論,la conclusion,Schlussfolgerung,结论,conclusione,conclusión,вывод,συμπέρασμα,konklusion
condition,名詞,条件,la condition,Bedingung,条件,condizione,condición,условие,κατάσταση,tilstand
conform,動詞,従う、一致する,conforme,konform,在符合,conformare,ajustarse,соответствовать,συμμορφώνομαι,konform
conjecture,名詞,予想,la conjecture,Vermutung,猜想,congetturare,conjetura,гипотеза,εικασία,formodning
connect,動詞,接続する,la connexion,Verbindungs,该连接,Collegare,conectar,соединять,συνδέω-συωδεομαι,Opret forbindelse
consistent,形容詞,首尾一貫した,la cohérence,konsequente,一致,coerente,coherente,последовательный,σταθερός,konsekvent
constitution,名詞,構成、構造,la Constitution,Verfassung,宪法,costituzione,constitución,Конституция,σύνταγμα,forfatning
contain,動詞,含む,la contiennent,enthalten,在含有,contenere,contener,содержать,περιέχω,indeholde
content,動詞,満足させる,contenu,Inhalt,内容,contenuto,contenido,содержание,περιεχόμενο,indhold
continuously,副詞,連続した,la permanence,kontinuierlich,不断,continuamente,continuamente,непрерывно,συνεχώς,kontinuerligt
contradiction,名詞,矛盾,la contradiction,Widerspruch,矛盾,contraddizione,contradicción,противоречие,αντίφαση,modsigelse
contrast,名詞,コントラスト,contraste,Kontrast,对比,contrasto,contraste,контраст,αντίθεση,kontrast
convection-currents,名詞,対流 (物理の専門用語),les courants de convection-,Konvektion-Strom,所述对流电流,Convezione-corrente,corrientes de convección,конвекционные потоки,κινηματογραφικά ρεύματα,Konvektionstrømme
correct,形容詞,正しい,la bonne,richtige,正确的,corretta,correcto,правильный,σωστός,korrekt
correctly,副詞,正しい,correctement,richtig,正确,correttamente,correctamente,правильно,σωστά,korrekt
couple,動詞,結合する,couple,Ehepaar,夫妇,coppia,pareja,пара,ζευγάρι,par
course,名詞,コース,cours,Kurs,课程,corso,curso,курс,σειρά μαθημάτων,Rute
create,動詞,創造する,créer,schaffen,在创建,creare,crear,Создайте,δημιουργώ,skab
criterion,名詞,基準,critère,Kriterium,标准,criterio,criterio,критерий,κριτήριο,Kriterium
curvature,名詞,曲率,la courbure,Krümmung,曲率,curvatura,curvatura,кривизна,καμπυλότητα,krumning
