ドイツ語,日本語,英語,フランス語,イタリア語,スペイン語,ギリシャ語,ロシア語,デンマーク後,簡体字
elektrodynamisch,電気力学,electrodynamic,électrodynamique,elettrodinamico,electrodinámico,ηλεκτροδυναμικός,электродинамический,elektrodynamisk,电动力学
elektromagnetisch,電磁,electromagnetic,électromagnétique,elettromagnetico,electromagnético,ηλεκτρομαγνητικός,электромагнитный,elektromagnetisk,电磁
elektromotorisch,電気的,electromotive,électromoteur,elettromotivo,electromotivo,ηλεκτροπαραγωγός,электродвигьев,elektromotorisk,电动性
Elektron,電子,electron,électron,elettrone,electrón,ηλεκτρόνιο,электрон,elektron,电子
elektrostatisch,静電,electrostatic,électrostatique,elettrostatico,electrostático,ηλεκτροστατικός,электростатический,elektrostatisk,静电
Ellipsoid,楕円,Ellipsoid,Ellipsoïde,Ellissoide,Elipsoide,Ελλειψοειδής,Эллипсоид,Ellipsoid,椭圆形
Ellipsoidfläche,楕円形の領域,Ellipsoid area,Zone ellipsoïde,Area di ellissoide,Área elipsoide,Ελλειψοειδή περιοχή,Эллипсоидная область,Ellipsoid område,椭圆形区域
emittieren,エミット,emit,émettre,emettere,emitir,εκπέμπουν,испускают,udsender,发射
Ende,終わり,End,Fin,Fine,Final,Τέλος,Конец,Ende,结尾
Endlich,ついに,Finally,Pour terminer,Infine,Finalmente,Τελικά,Окончательно,Langt om længe,最后
Energie,エネルギー,energy,énergie,energia,energía,ενέργεια,энергия,energi,活力
Energiemenge,エネルギー量,Amount of energy,Quantité d'énergie,Quantità di energia,Cantidad de energía,Ποσότητα ενέργειας,Количество энергии,Mængde energi,能量量
Energieprinzip,エネルギー原理,Energy principle,Principe d'énergie,Principio di energia,Principio de energía,Αρχή ενέργειας,Энергетический принцип,Energiprincip,能源原理
Energiewerte,エネルギー値,Energy values,Valeurs énergétiques,Valori energetici,Valores de energía,Ενεργειακές τιμές,Значения энергии,Energiværdier,能量值
entfernen,削除する,remove,retirer,rimuovere,retirar,αφαιρώ,удалять,fjerne,消除
entfernten,遠い,distant,loin,distante,distante,μακρινός,далекий,fjern,遥远
Entfernung,距離,distance,distance,distanza,distancia,απόσταση,расстояние,afstand,距离
enthalten,含む,contain,contenir,contenere,contener,περιέχω,содержать,indeholde,包含
entsprechen,対応する,correspond to,correspondre à,corrisponde a,corresponden a las,αντιστοιχούν σε,соответствует,svarer til,相当于
entsprechenden,対応する,corresponding,correspondant,corrispondente,correspondiente,αντίστοιχος,соответствующий,tilsvarende,相应的
entstehen,発展させる,develop,développer,sviluppare,desarrollar,αναπτύσσω,развивать,udvikle,开发
entwickeln,発展させる,develop,développer,sviluppare,desarrollar,αναπτύσσω,развивать,udvikle,开发
entzogen,引きこもった,withdrawn,retiré,ritirato,retirado,αποτραβηγμένος,отозван,trukket tilbage,撤销
Epoch,時代,Epoch,Époque,Epoca,Época,Εποχή,Эпоха,Epoke,时代
er,彼,he,il,lui,él,αυτός,он,han,他
Erdäquator,アソシエーター,Assocator,Associateur,Assocatore,Asociado,Συνεργάτης,Ассоциирован,Assocator,同伴
Erde,地球,Earth,Terre,Terra,Tierra,Γη,Земля,jorden,地球
Erdpole,アースポール,Earth pole,Pôle terrestre,Polo terrestre,Poste de la tierra,Γήινος πόλος,Земный столб,Jordstang,地球杆
Ereignis,発生,occurrence,occurrence,occorrenza,ocurrencia,περιστατικό,вхождение,Hændelse,发生
Ereignisreihen,イベントシリーズ,Event series,Séries d'événements,Serie di eventi,Serie de eventos,Σειρά εκδηλώσεων,Серия событий,Begivenhedsserier,事件系列
Erfahrung,経験,experience,vivre,Esperienza,experiencia,εμπειρία,опыт,erfaring,经验
erfolgen,行われる,take place,prend place,avere luogo,tener lugar,λαμβάνει χώρα,происходит,finde sted,发生
ergeben,結果,result,résultat,risultato,resultado,αποτέλεσμα,результат,resultat,结果
ergreifen,つかむ,seize,saisir,prendere,confiscar,αρπάζω,захватывать,gribe,抢占
erhalten,受け取る,receive,recevoir,ricevere,recibir,λαμβάνω,Получать,modtage,收到
erklären,説明する,to explain,expliquer,spiegare,para explicar,για να εξηγήσει,объяснять,at forklare,解释
erlangen,利得,gain,Gain,guadagno,ganar,κέρδος,прирост,gevinst,获得
ermitteln,決定,determine,déterminer,determinare,determinar,καθορίσει,определять,bestemme,决定
Ermittelung,決定,Determination,Détermination,Determinazione,Determinación,Προσδιορισμός,Определение,Beslutsomhed,决心
erörtern,話し合います,discuss,discuter,discutere,conversar,συζητώ,обсуждать,drøfte,讨论
erscheinen,現れる,appear,apparaître,apparire,Aparecer,εμφανίζομαι,появляться,komme til syne,出现
Erscheinung,外観,Appearance,Apparence,Aspetto esteriore,Apariencia,Εμφάνιση,вид,Udseende,外貌
ersetzbar,交換可能,replaceable,remplaçable,sostituibile,reemplazable,αναπληρώσιμος,заменяемый,Udskiftelig,可更换
ersehen,見る,see,voir,vedere,ver,βλέπω,видеть,se,看
erst,最初,first,première,primo,primero,πρώτα,первый,først,第一的
erteilen,与えるために,To give,Pour donner,Dare,Dar,Το να δίνεις,Давать,At give,给
erwähnen,言及,mention,mention,citare,mencion,αναφέρω,упомянуть,nævne,提到
erweisen,証明,prove,prouver,dimostrare,demostrar,αποδεικνύω,доказывать,bevise,证明
erzeugen,生成,generate,produire,creare,generar,παράγω,генерировать,frembringe,产生
Es,これ,It,Ce,Esso,Eso,Το,Это,Det,它
etwa,約,about,sur,di,sobre,σχετικά με,о,om,关于
euklidischen,ユークリッド,euclid,Euclide,Euclide,Euclides,Ευκλείδης,Евклид,euclid,欧几里得
eventuell,多分,perhaps,peut-être,forse,quizás,ίσως,возможно,måske,也许
Existenz,存在,existence,existence,esistenza,existencia,ύπαρξη,существование,eksistens,存在
Existenzmöglichkeit,存在,Existence,Existence,Esistenza,Existencia,Υπαρξη,Существование,Eksistens,存在
Experiment,実験,experiment,expérience,sperimentare,experimento,πείραμα,эксперимент,eksperiment,实验
Faktor,要素,factor,facteur,fattore,factor,παράγοντας,фактор,faktor,因素
Fall,場合,case,Cas,Astuccio,caso,υπόθεση,кейс,sag,案子
falls,もしも,if,si,Se,si,αν,если,hvis,如果
fassen,把握,grasp,saisir,presa,sujetar,πιάσιμο,понять,forståelse,抓牢
Federwage,フェザーカー,Feather car,Voiture à plumes,Auto di piume,Coche de plumas,Φτερωτό αυτοκίνητο,Перьев автомобиль,Fjerbil,羽毛车
Feld,分野,Field,Champ,Campo,Campo,Πεδίο,Поле,Mark,场地
fernen,遠い,distant,loin,distante,distante,μακρινός,далекий,fjern,遥远
fest,お祝い,Celebration,Fête,Celebrazione,Celebracion,Εορτασμός,Праздник,Fest,庆典
festlegen,決定,determine,déterminer,determinare,determinar,καθορίσει,определять,bestemme,决定
festsetzen,設定,set,Positionner,impostare,establecer,σειρά,установлен,sæt,放
Festsetzung,修正,fixing,fixation,fissaggio,fijación,διόρθωση,исправление,lave,定影
figurieren,形,figure,chiffre,figura,figura,εικόνα,фигура,figur,数字
finden,探す,Find,Trouver,Trova,Encontrar,Εύρημα,Находить,Finde,寻找
findlich,にぎやか,lively,animé,vivace,dinámico,ζωηρός,оживленный,livlig,活泼
Fläche,水面,Surface,Surface,Superficie,Superficie,Επιφάνεια,Поверхность,Overflade,表面
flächenbafte,表面禁止,surface bans,interdictions de surface,divieti di superficie,prohibición de la superficie,απαγορεύσεις επιφανειών,Поверхностные запреты,overfladeforbud,表面禁令
Flächeneinheit,単位,Unit,Unité,Unità,Unidad,Μονάδα,Ед. изм,Enhed,单元
flächenelement,表面要素,surface element,élément de surface,elemento di superficie,elemento superficial,επιφανειακό στοιχείο,поверхностный элемент,Overfladeelement,表面元素
Folge,結果,Consequence,Conséquence,Conseguenza,Consecuencia,Συνέπεια,Последствие,Følge,结果
zu folgen,従う,to follow,suivre,da seguire,seguir,ακολουθώ,следовать,at følge,跟随
zu fordern,促進する,to promote,promouvoir,promuovere,promover,Για να προωθησω,продвигать,at forfremme,推广
Form,形,shape,forme,forma,forma,σχήμα,форма,form,形状
formationsgleichung,形成方程式,formation equation,équation de formation,Equazione di formazione,ecuación de formación,εξίσωση σχηματισμού,Уравнение формирования,Dannelse ligning,编队方程
Formel,方式,formula,formule,formula,fórmula,τύπος,формула,formel,公式
zu formieren,申込用紙へ,to form,former,per formare,formar,σχηματίζω,для формирования,at danne,来形成
förmig,形状,shaped,en forme de,sagomato,conformado,σχηματισμένος,в форме,formet,成形
fortpflanzen,再現します,reproduce,reproduire,riprodurre,reproducir,αναπαράγω,воспроизводить,reproducere,复制
fragen,聞く,ask,interroger,Chiedi,pedir,παρακαλώ,спросить,Spørg,问
Frequenz,周波数,frequency,la fréquence,frequenza,frecuencia,συχνότητα,частота,frekvens,频率
früheren,ついさっき,earlier,plus tôt,prima,más temprano,νωρίτερα,ранее,Tidligere,较早
führen,リードする,to lead,mener,guidare,para liderar,να οδηγήσω,вести,at lede,领导
Fund,探す,Find,Trouver,Trova,Encontrar,Εύρημα,Находить,Finde,寻找
Funktion,関数,function,fonction,funzione,función,λειτουργία,функция,fungere,功能
für,為に,for,pour,per,por,Για,за,til,为了
Gang,装備,gear,équipement,Ingranaggio,engranaje,μηχανισμός,механизм,gear,齿轮
gänge,通路,passage,passage,passaggio,paso,πέρασμα,проход,passage,通道
ganges,ガンジス,ganges,Gange,Gange,ganges,Γάγγης,Ганг,Ganges,恒河
ganzen,全体,entire,entier,tutto,completo,ολόκληρος,весь,hel,全部的
geändert,かわった,changed,modifié,cambiato,cambió,άλλαξαν,измененный,ændret,更改
geben,与える,give,donner,dare,dar,δίνω,дайте,give,给
Gebilde,構造,Structure,Structure,Struttura,Estructura,Δομή,Структура,Struktur,结构
gebliebenen,残った,remained,resté,è rimasta,se mantuvo,παρέμεινε,остался,forblev,留下来
gebrauchte,中古,Second hand,D'occasion,Seconda mano,Segunda mano,Δεύτερο χέρι,Подержанный,Brugt,二手
gebunden,バウンド,bound,bondir,legato,vinculado,όριο,граница,bundet,边界
gedrückt,うつ病,depressed,déprimé,depresso,deprimido,μελαγχολικός,подавлен,deprimeret,郁闷
gefaßten,握った,gripped,agressé,afferrato,agarrado,πιάσιμος,захват,Gribet,抓住
gefundenen,見つかった,found,trouvé,fondare,fundar,βρέθηκαν,найденный,fundet,成立
gegeben,与えられた,given,donné,dato,dado,δεδομένος,данный,givet,给出
gegen,対,versus,contre,contro,versus,εναντίον,против,imod,相对
gegeneinander,互いに対して,against each other,l'un contre l'autre,uno contro l'altro,unos contra otros,ο ένας εναντίον του άλλου,друг против друга,mod hinanden,彼此对抗
Gegensatz,対比,contrast,contraste,contrasto,contraste,αντίθεση,контраст,kontrast,对比
gegenstandslos,不安定,unstable,instable,instabile,inestable,ασταθής,нестабильный,ustabil,不稳定
gegenüber,の反対,opposite to,l'opposé de,opposta a,Opuesto a,αντίθετος,напротив,i modsætning,与
gegenwärtig,現在,currently,actuellement,attualmente,corrientemente,επί του παρόντος,В данный момент,i øjeblikket,目前
gehen,歩く,walk,marche,camminare,caminar,Περπατήστε,ходить,gå,走
gehend,歩く,walking,en marchant,a passeggio,caminando,το περπάτημα,ходьба,Gå,步行
gehende,歩く,walking,en marchant,a passeggio,caminando,το περπάτημα,ходьба,Gå,步行
gehören,属する,belong,appartenir,appartenere,pertenecer,ανήκω,принадлежать,tilhører,属于
gekrümmte,湾曲,curved,incurvé,curvo,curvo,κυρτός,изогнутый,buet,弯曲
geladener,ロード,loaded,chargé,caricato,cargado,φορτωμένος,загружен,indlæst,加载
gelangen,到着,reach,atteindre,portata,alcanzar,φθάνω,достигать,nå,抵达
gelegen,位置した,located,situé,Situato,situado,τοποθετημένος,расположен,befinde sig,位于
geleistete,達成,achieved,réalisé,raggiunto,logrado,επιτεύχθηκε,достигнуто,opnået,实现了
geliefert,配達,delivered,livré,consegnato,entregado,παραδόθηκε,доставлен,leveret,发表
gelöst,解決した,solved,résolu,risolto,resuelto,λυμένος,Решен,løst,解决了
gelte,適用されます,applies,s'applique,si applica,se aplica,εφαρμόζω,применяется,gælder,适用
gelten,有効です,are valid,sont valides,sono validi,son validos,ισχύουν,действительны,er gyldige,有效
gemacht,やりました,did,a fait,fatto,hizo,συναφθεί,делал,gjorde,做过
gemachten,作る,made,fabriqué,fatto,hecha,έκανε,сделанный,lavet,制成
gemäß,によると,according to,selon,secondo,de acuerdo a,σύμφωνα με,согласно с,ifølge,根据
gemein,平均,mean,moyenne,significare,significar,σημαίνω,иметь в виду,betyde,意思是
gemeinsame,一般,common,commun,Comune,común,κοινός,общий,almindelige,常见的
gemeinsten,ごくありふれた,most common,Le plus commun,più comune,más común,Το συνηθέστερο,наиболее общий,mest almindelig,最常见的
gemessen,測定,measured,mesuré,misurato,Medido,μετρημένος,измеренный,målt,测量
gemessene,測定,measured,mesuré,misurato,Medido,μετρημένος,измеренный,målt,测量
gemessenen,測定,measured,mesuré,misurato,Medido,μετρημένος,измеренный,målt,测量
genannt,呼び出されました,called,appelé,chiamato,llamó,που ονομάζεται,называется,hedder,叫
genannten,名前が付けられました,named,nommé,di nome,nombrada,ονομάστηκε,названный,som hedder,命名
genau,同意します,I agree,Je suis d'accord,sono d'accordo,Estoy de acuerdo,συμφωνώ,Я согласен,jeg er enig,我同意
genügen,会う,meet,rencontrer,incontrare,reunir,συναντώ,встретиться,møde,遇见
genügende,十分な,sufficient,suffisant,sufficiente,suficiente,επαρκής,достаточный,tilstrækkelig,充足的
genügender,十分な,sufficient,suffisant,sufficiente,suficiente,επαρκής,достаточный,tilstrækkelig,充足的
genügt,足りる,enough,suffisant,abbastanza,suficiente,αρκετά,достаточно,nok,足够的
geo,ジオ,geo,géo,geo,geo,θεός,гео,Geo,地理
Geometrie,ジオメトリ,geometry,géométrie,geometria,geometría,γεωμετρία,геометрия,Geometri,几何学
gerade,ただ,just,juste,Appena,sólo,μόλις,просто,lige,只是
gerichtet,指示,directed,dirigée,dirette,dirigido,κατευθυνόμενος,режиссер,instrueret,指导
gesandt,使節,envoy,envoyé,inviato,enviado,απεσταλμένος,посланник,udsending,使者
geschlossenen,閉まっている,closed,fermé,Chiuso,cerrado,κλειστό,закрыто,lukket,关闭
Geschwindig,スピーディ,Speedy,Rapide,Veloce,Rápido,Ταχύς,Скоро,Hurtig,迅速
Geschwindigkeit,速度,speed,la rapidité,velocità,velocidad,Ταχύτητα,скорость,hastighed,速度
Geschwindigkeiten,速度,Speeds,Vitesses,Velocità,Velocidad,Ταχύτητα,Скорость,Hastigheder,速度
Geschwindigkeitsvektor,速度ベクトル,Speed ​​vector,Vecteur de vitesse,VETTORE SPEED,Vector de velocidad,Διάνυσμα ταχύτητας,Скорость вектор,Hastighedsvektor,速度向量
Gesetz,法,Law,Droit,Legge,Ley,Νόμος,Закон,Lov,法律
Gesetze,法律,Laws,Lois,Le leggi,Leyes,Του νόμου,Законы,Love,法律
Gesetzes,法,Law,Droit,Legge,Ley,Νόμος,Закон,Lov,法律
gesetzt,設定,set,Positionner,impostare,establecer,σειρά,установлен,sæt,放
Gestalt,形,shape,forme,forma,forma,σχήμα,форма,form,形状
Gesucht,検索,Searched,Cherché,Perquisito,Buscado,Ερευνημένος,Обыскал,Søgte,搜索
gewandt,巧み,skilful,habile,abile,hábil,ικανός,умелый,dygtig,熟练
gewissem,特定,certain,certain,certo,cierto,βέβαιος,определенный,bestemte,肯定
gewissen,良心,conscience,conscience,coscienza,conciencia,συνείδηση,совесть,samvittighed,良心
gewisser,特定,certain,certain,certo,cierto,βέβαιος,определенный,bestemte,肯定
gewonnen,勝った,won,a gagné,ha vinto,ganó,Κέρδισε,выиграл,vandt,韩元
geworden,なる,become,devenir,diventare,convertirse en,γίνομαι,стали,blive,变得
gezeigt,表示されています,shown,indiqué,mostrato,mostrado,απεικονίζεται,показано,vist,显示
gibt,それは,are,sommes,sono,son,είναι,находятся,er,是
gilt,適用されます,is applicable,est applicable,è applicabile,es aplicable,ισχύει,применимо,er relevant,适用
Glei,のり,Glue,Colle,Colla,Pegamento,Κόλλα,Клей,Lim,胶水
gleich,同じ,same,même,stesso,mismo,ίδιο,такой же,samme,相同的
gleiche,同じ,same,même,stesso,mismo,ίδιο,такой же,samme,相同的
gleichen,似ている,resemble,ressembler,assomigliare,parecerse,μοιάζω,напоминать,ligne,类似
gleicher,同じ,same,même,stesso,mismo,ίδιο,такой же,samme,相同的
gleichfalls,同じ,the same,le même,lo stesso,lo mismo,το ίδιο,одинаковый,det samme,相同
gleichförmige,ユニフォーム,uniform,uniforme,uniforme,uniforme,στολή,униформа,uniform,制服
gleichförmiger,ユニフォーム,uniform,uniforme,uniforme,uniforme,στολή,униформа,uniform,制服
Gleichheit,平等,equality,égalité,uguaglianza,igualdad,ισότητα,равенство,lighed,平等
Gleichung,方程式,equation,équation,equazione,ecuación,εξίσωση,уравнение,Ligning,方程
Gleichungssystem,方程式システム,Equation system,Système d'équation,Sistema di equazione,Sistema de ecuaciones,Σύστημα εξισώσεων,Уравнение система,Ligningssystem,方程式系统
gleichzeitig,同時に,simultaneously,simultanément,contemporaneamente,simultaneamente,ΤΑΥΤΟΧΡΟΝΑ,одновременно,samtidigt,同时
Gleichzeitigkeit,同時性,simultaneity,simultanéité,simultaneità,simultaneidad,ταυτόχρονη,одновременность,samtidighed,同时
Gliedern,噛む,Bite up,Mordre,Mordere,Morder,Δαγκώνω,Укусить,Bid op,咬
go,行く,go,aller,andare,Vamos,πηγαίνω,идти,gå,去
groß,大きい,big,gros,grande,grande,μεγάλο,большой,stor,大的
Größe,サイズ,size,Taille,taglia,Talla,Μέγεθος,размер,størrelse,尺寸
gründen,確立します,establish,mettre en place,stabilire,establecer,εγκαθιδρύω,учреждать,etablere,建立
Grundlage,基本,basis,base,base,base,βάση,основа,basis,基础
Grundprinzipien,基本理念,Basic principles,Principes de base,Principi di base,Principios básicos,Βασικές αρχές,Основные принципы,Grundlæggende principper,基本原则
Gruppe,グループ,group,groupe,gruppo,grupo,ομάδα,группа,gruppe,团体
gültig,有効,valid,valide,valido,válido,έγκυρος,действительный,gyldig,有效的
haben,持つため,to have,avoir,avere,tener,να έχω,иметь,at have,具有
halber,立ち往生,stranded,échoué,incagliato,varado,απομεμονωμένος,застрявший,strandet,搁浅
halten,保つ,keep,donjon,mantenere,mantener,διατήρηση,хранить,holde,保持
handelt,行為,act,loi,atto,Actuar,υποκρίνομαι,действовать,handling,行为
hängen,下がる,hang,pendre,appendere,colgar,κρεμάω,вешать,hænge,悬挂
heben,リフトへ,to lift,soulever,sollevare,levantar,σηκώνω,поднимать,at løfte,举起
heißen,平均,mean,moyenne,significare,significar,σημαίνω,иметь в виду,betyde,意思是
heit,ネス,Ness,Ness,Ness,Ness,Νησί,Нож,Ness,尼斯
hergeleitet,導いた,led,LED,portato,dirigió,οδοντοστοιχία,вел,led,引领
großen,巨大,huge,énorme,enorme,enorme,τεράστιος,огромный,kæmpe stor,巨大的
Hertz,ヘルツ,hertz,hertz,Hertz,hertz,χέρτζ,герц,Hertz,赫兹
hier,ここ,here,ici,qui,aquí,εδώ,здесь,her,这里
hierauf,これについて,on this,sur ce,su questo,en este,για το θέμα αυτό,на этом,på denne,关于这个
Hieraus,これから,From this,De cette,Da questo,De esto,Από αυτό,Из этого,Fra dette,由此
Hierbei,ここ,Here,Ici,Qui,Aquí,Εδώ,Здесь,Her,这里
Hiermit,これはそうです,Herewith,Ci-joint,Con la presente,Adjunto,Εδώ,При этом,Hermed,此处
Hilfe,ヘルプ,Help,Aider,Aiuto,Ayuda,Βοήθεια,Помощь,Hjælp,帮助
Hilfsbegriffe,条件をヘルプします,Help terms,Aide les termes,Termini di aiuto,Términos de ayuda,Βοηθοί όροι,Помогите термины,Hjælp udtryk,帮助条款
hinausläuft,なくなる,run out,s'épuiser,Terminare,sin,τελείωσε,закончиться,Kør tør,用完
hindurch,終えた,through,à travers,attraverso,mediante,διά μέσου,через,igennem,通过
hinzufügen,追加,Add,Ajouter,Aggiungere,Agregar,Προσθήκη,Добавлять,Tilføje,添加
höheren,より高い,higher,plus haut,più alto,más alto,πιο ψηλά,выше,højere,更高
höherer,より高い,higher,plus haut,più alto,más alto,πιο ψηλά,выше,højere,更高
Homogenitätseigenschaft,均一性プロパティ,Homogeneity property,Propriété d'homogénéité,Proprietà di omogeneità,Propiedad de homogeneidad,Ιδιοκτησία ομοιογένειας,Однородность собственности,Homogenitetsegenskaber,同质性属性
hot,ホット,hot,chaud,piccante,caliente,ζεστό,горячий,hed,热的
ich,私,I,je,io,yo,Εγώ,я,jeg,我
identisch,同一,identical,identique,identico,idéntico,πανομοιότυπο,идентичный,identisk,完全相同的
ihm,彼,him,lui,lui,a él,αυτόν,его,Hej M,他
ihr,彼女,her,son,suo,su,αυτήν,ей,hende,她
ihre,彼らの,their,leur,i loro,sus,δικα τους,их,deres,他们的
ihrer,彼らの,of their,de leur,del loro,de ellos,τους,от их,af deres,他们的
Im,の中に,in the,dans le,nel,en el,στο,в,I,在里面
immer,いつも,always,toujours,sempre,siempre,πάντα,всегда,altid,总是
In,の,In,Dans,In,En,Σε,В,I,在
Inbegriff,エピトーム,epitome,exemple,epitome,epítome,επιτομή,воплощение,Besparende,缩影
indem,その中で,in which,dans lequel,in quale,en el cual,στο οποίο,в котором,hvori,其中
infolgedessen,その結果,Consequently,Par conséquent,Di conseguenza,Como consecuencia,συνεπώς,Следовательно,følgelig,最后
Inhalt,コンテンツ,contents,Contenu,Contenuti,contenido,περιεχόμενα,содержимое,indhold,内容
ins,に,into the,dans le,dentro,en el,μέσα στο,в,ind i,进入
insofern,その中で,in that,en cette,In ciò,en eso,σε αυτό,в этом,i det,在那里面
Intensität,強度,intensity,intensité,intensità,intensidad,ένταση,интенсивность,intensitet,强度
intensiv,集中的な,intensive,intensif,intensivo,intensivo,εντατικός,интенсивный,intensiv,密集的
Interpretation,解釈,interpretation,interprétation,interpretazione,interpretación,ερμηνεία,интерпретация,Fortolkning,解释
inverse,逆,inverse,inverse,inverso,inverso,αντίστροφος,обратный,inverse,逆
Ist,は,is,est,è,es,είναι,является,er,是
je,これまで,ever,déjà,mai,alguna vez,πάντα,Когда-либо,nogensinde,曾经
jede,毎日,every,tous,ogni,cada,κάθε,каждый,hver,每一个
Jedem,各,Each,Chaque,A testa,Cada,Καθε,Каждый,Hver,每个
jeden,毎日,every,tous,ogni,cada,κάθε,каждый,hver,每一个
Jeder,みんな,Everyone,Tout le monde,Tutti,Todo el mundo,Ολοι,Каждый,Alle sammen,每个人
jedes,毎日,every,tous,ogni,cada,κάθε,каждый,hver,每一个
jedoch,でも,however,toutefois,però,sin embargo,ωστόσο,Однако,imidlertid,然而
Jener,それか,That,Ce,Quella,Que,Οτι,Что,At,那
jenes,それ,that,ce,Quello,que,ότι,что,at,那
jeweilen,これまで,ever,déjà,mai,alguna vez,πάντα,Когда-либо,nogensinde,曾经
Juni,六月,June,Juin,Giugno,Junio,Ιούνιος,Июнь,juni,六月
kalischen,カリック,calic,calic,CALIC,calicismo,άλατος,калика,Calic,镀瓦
kämpfen,戦い,battle,bataille,battaglia,batalla,μάχη,боевой,kamp,战斗
kann,できる,can,boîte,Potere,pueden,μπορώ,Можно,kan,能够
kartesischen,デカルト,Cartesian,cartésien,cartesiano,cartesiano,Καρτεσιανός,Картезианский,Kartesisk,笛卡尔
kein,番号,no,non,No,no,όχι,нет,ingen,不
keine,番号,no,non,No,no,όχι,нет,ingen,不
keinerlei,なし,none,rien,nessuno,ninguna,κανένας,никто,ingen,没有任何
keit,ベース,base,base,base,base,βάση,база,grundlag,根据
keiten,ボガー,boggers,boguers,Boggers,boggers,φούσκοι,Боггерс,Boggers,杂乱无章
Kinematik,運動学,kinematics,cinématique,cinematica,cinemática,κινηματική,Кинематика,Kinematik,运动学
kinematischen,映画のような,cinematic,cinématographique,cinematografico,cinematográfico,κινηματικός,кинематографический,filmisk,电影
Kinematischer,映画のような,Cinematic,Cinématographique,Cinematografico,Cinematográfico,Κινηματικός,Кинематографический,Filmisk,电影
kinetische,速度論,kinetic,cinétique,cinetico,cinético,κινητικός,кинетический,kinetisk,动力学
klar,クリア,clear,dégager,chiaro,claro,Σαφή,Чисто,klar,清除
kleiden,ドレス,dress,robe,vestire,vestir,φόρεμα,платье,kjole,裙子
klein,小さな,small,petit,piccolo,pequeña,μικρό,маленький,lille,小的
Kollege,同僚,colleague,collègue,collega,colega,συνάδελφος,коллега,kollega,同事
kommen,来て,come,viens,venire,venir,Έλα,прийти,komme,来
Komponent,成分,Component,Composant,Componente,Componente,Συστατικό,Составная часть,Komponent,零件
können,できる,be able,être capable,essere in grado,ser capaz,να είναι σε θέση,быть способным,være i stand til,能够
könnte,できる,could,pourrait,Potevo,pudo,θα μπορούσε,мог,kunne,可以
könnten,そうかもしれない,might,force,potrebbe,puede que,θα μπορούσε,мощь,magt,可能
Konsequenz,結果,consequence,conséquence,conseguenza,consecuencia,συνέπεια,последствие,følge,结果
konstant,絶え間ない,constant,constant,costante,constante,συνεχής,постоянный,konstant,持续的
Konstante,絶え間ない,constant,constant,costante,constante,συνεχής,постоянный,konstant,持续的
Konstanten,絶え間ない,Constant,Constant,Costante,Constante,Συνεχής,Постоянный,Konstant,持续的
konstanter,絶え間ない,constant,constant,costante,constante,συνεχής,постоянный,konstant,持续的
Konstanz,一貫性,Consistency,Cohérence,Consistenza,Consistencia,Συνοχή,Последовательность,Konsistens,一致性
Konvektionsströme,対流ストリーム,Convection streams,Flux de convection,Flussi di convezione,Flujos de convección,Ροές μεταφοράς,Конвекционные потоки,Konvektionsstrømme,对流流
Koordinate,座標,coordinate,coordonner,coordinata,coordinar,συντεταγμένη,координировать,koordinere,协调
Koordinatenachsen,軸を調整します,Coordinate axes,Coordonnées,Assi coordinate,Ejes de coordenadas,Άξονες συντεταγμένων,Координируйте топоры,Koordinere akser,坐标轴
Koordinatenanfangspunkte,調整の始まり,Coordinate beginnings,Coordonner les débuts,Coordinate inizi,Comienzos de coordenadas,Αρχές συντεταγμένων,Координировать начало,Koordinere begyndelsen,协调起点
Koordinatenebene,座標レベル,Coordinate level,Niveau de coordonnées,Livello di coordinate,Nivel de coordenadas,Επίπεδο συντεταγμένων,Координатный уровень,Koordinatniveau,坐标水平
Koordinatensystem,座標系,Coordinate system,Système de coordonnées,Sistema di coordinate,Sistema coordinado,Σύστημα συντεταγμένων,Система координат,Koordinatsystem,坐标系
Koordinatenursprung,調整起点,Coordinate origin,Coordonnée,Coordinare l'origine,Origen de coordenadas,Συντεταγμένη,Координатное происхождение,Koordinere oprindelse,坐标来源
Körper,体,Body,Corps,Corpo,Cuerpo,Σώμα,Тело,Legeme,身体
kosinus,余弦,cosine,cosinus,coseno,coseno,συνημίτονο,косинус,kosinus,余弦
Kraft,パワー,power,Puissance,potenza,energía,εξουσία,сила,strøm,力量
Kräfte,力,Forces,Les forces,Forze,Efectivo,Δυνάμεις,Силы,Kræfter,军队
Kraftzahl,活力,Vigor,Vigueur,Vigore,Vigor,Σθένος,Энергия,Vigor,活力
Kriterium,基準,criteria,Critères,criteri,criterios,κριτήρια,критерии,kriterier,标准
Krümmungsradius,半径,Radius,Rayon,Raggio,Radio,Ακτίνα κύκλου,Радиус,Radius,半径
Kugel,銃弾,Bullet,Balle,Proiettile,Bala,Σφαίρα,Пуля,Kugle,子弹
Kugelfläche,ボールエリア,Ball area,Zone de balle,Area a sfera,Área de bola,Περιοχή με μπάλα,Площадь мяча,Boldområde,球区
Kugelgestalt,球形の図,Spherical figure,Sphérique,Figura sferica,Figura esférica,Σφαιρική φιγούρα,Сферическая фигура,Sfærisk figur,球形人物
Kugelwelle,球面,Spherical wave,Vague sphérique,Onda sferica,Onda esférica,Σφαιρικό κύμα,Сферическая волна,Sfærisk bølge,球形波
Kurve,曲線,Curve,Courbe,Curva,Curva,Καμπύλη,Изгиб,Kurve,曲线
